Nome,Instituição,Lider 1,Lider 2,Área
"Autenticidade e alteridade nos processos sociais, educacionais e profissionais",IFRS,Rogerio Foschiera,,Filosofia
CUIDADOS COM A SAÚDE FEMININA E MATERNO-INFANTIL NA MATERNIDADE JANUÁRIO CICCO.,UFRN,Janaina Cristiana de Oliveira Crispim Freitas,Ana Katherine da Silveira Gonçalves de Oliveira,Medicina
Grupo de estudos linguístico e literário da Amazonia- GELLA,IFPA,Arlon Francisco Carvalho Martins,,Lingüística
Alimentação Saudável em Areas Urbanase Rurais - ASUR,IPA,Eliane de CARVALHO NOYA,Geraldo Majella Bezerra Lopes,Sociologia
Anatomia Macroscópica e Microscópica,UNESP,Adriano Polican Ciena,Paula Oliveira Camargo,Morfologia
"Arquivos, fontes e narrativas: entre cidade, arquitetura e design",USP,Joana Mello de Carvalho e Silva,Junia Cambraia Mortimer,Arquitetura e Urbanismo
"ENLACE - Laboratório de estudos da cena, corpo e memória",FAETEC,Ana Paula Brasil de Matos Guedes,Vera Lucia Silva Lopes,Artes
Grupo de Estudo e Pesquisa em Climatologia do Cerrado,UFJ,Regina Maria Lopes,Gislaine Cristina Luiz,Geografia
"Grupo de Pesquisa e Extensão Redes, Questões Geracionais e Políticas Públicas",UFAL,Marcia Iara Costa da Silva,Martha Daniella Tenório de Oliveira,Serviço Social
Grupo História e Historia da Educaçao em espaço de Fronteira -seculo XX (GHHEEFRON),UFGD,Maria do Carmo Brazil,,Educação
"Linguagens,Cultura e ensino: o uso da língua na formação técnica e tecnológica",IFMA,Joelina Maria da Silva Santos,Silvana Maria dos Anjos Pires Brito,Letras
Práticas Reflexivas nos Espaços Escolares e Não Escolares: Produção Textual em Foco - PROPEN,UNISUZ,Marina Pinheiro Fortunato,Flávio Borges do Nascimento,Lingüística
"""Melhoramento Genético Florestal de Espécies Exóticas e Nativas""",UFT,Cristiano Bueno de Moraes,,Recursos Florestais e Engenharia Florestal
"A3EN-Grupo de Apoio, Aprimoramento e Atualização em Educação Nutricional",UNILA,Érika Marafon Rodrigues Ciacchi,Maria Cristina Faber Boog,Nutrição
ALFA AZUL - Metodologia de Ensino para Superdotados/Talentosos na Educação Básica,UFG,Wanderley Alves dos Santos,,Educação
Biotecnologia de Microrganismos e seus Produtos,IFMT,Wellington Soares,Claudio João Bernardi,Biotecnologia
Biotecnologia: Saúde humana e animal,UFPR,Vanete Thomaz Soccol,Joao Carlos Minozzo,Parasitologia
"BRANDING, EMPREENDEDORISMO E COMUNICAÇÃO ESTRATÉGICA EM ORGANIZAÇÕES - HUBINNOVATION BECO UFU",UFU,Marcelo Marques Araújo,,Comunicação
"BrisaLAB [ Biorizoma de Intervenção e Sensibilidades Artísticas] - Laboratório de Pesquisa em Performance, Mídia Arte e Questões Ambientais",UFF,Walmeri Kellen Ribeiro,Ruy Cezar Campos Figueiredo,Artes
"CAOIDES - Filosofia, Arte e Ciência: O pensamento como heterogênese",UFG,Enilda Rodrigues de Almeida Bueno,Ricardo Almeida de Paula,Educação
Caracterização e aplicações dos argilominerais,CETEM,Luiz Carlos Bertolino,,Geociências
